03 Apr 15:35:32|pUtil.py    | Pilot cleanup has finished
03 Apr 15:35:42|pUtil.py    | Done, using system exit to quit
03 Apr 15:37:34|pUtil.py    | Pilot cleanup has finished
03 Apr 15:37:44|pUtil.py    | Done, using system exit to quit
03 Apr 16:04:41|pUtil.py    | Pilot cleanup has finished
03 Apr 16:04:51|pUtil.py    | Done, using system exit to quit
03 Apr 16:15:41|pUtil.py    | Pilot cleanup has finished
03 Apr 16:15:51|pUtil.py    | Done, using system exit to quit
03 Apr 16:16:08|pUtil.py    | Pilot cleanup has finished
03 Apr 16:16:18|pUtil.py    | Done, using system exit to quit
03 Apr 17:36:48|pUtil.py    | Pilot cleanup has finished
03 Apr 17:36:58|pUtil.py    | Done, using system exit to quit
03 Apr 18:06:42|pUtil.py    | Pilot cleanup has finished
03 Apr 18:06:52|pUtil.py    | Done, using system exit to quit
03 Apr 18:10:36|pUtil.py    | Pilot cleanup has finished
03 Apr 18:10:46|pUtil.py    | Done, using system exit to quit
03 Apr 18:12:55|pUtil.py    | Pilot cleanup has finished
03 Apr 18:13:05|pUtil.py    | Done, using system exit to quit
03 Apr 18:13:52|pUtil.py    | Pilot cleanup has finished
03 Apr 18:14:02|pUtil.py    | Done, using system exit to quit
03 Apr 18:14:04|pUtil.py    | Pilot cleanup has finished
03 Apr 18:14:14|pUtil.py    | Done, using system exit to quit
03 Apr 18:18:30|pUtil.py    | Pilot cleanup has finished
03 Apr 18:18:40|pUtil.py    | Done, using system exit to quit
03 Apr 18:20:07|pUtil.py    | Pilot cleanup has finished
03 Apr 18:20:17|pUtil.py    | Done, using system exit to quit
03 Apr 18:23:15|pUtil.py    | Pilot cleanup has finished
03 Apr 18:23:25|pUtil.py    | Done, using system exit to quit
03 Apr 18:25:04|pUtil.py    | Pilot cleanup has finished
03 Apr 18:25:14|pUtil.py    | Done, using system exit to quit
03 Apr 18:44:18|pUtil.py    | Pilot cleanup has finished
03 Apr 18:44:28|pUtil.py    | Done, using system exit to quit
03 Apr 18:51:27|pUtil.py    | Pilot cleanup has finished
03 Apr 18:51:37|pUtil.py    | Done, using system exit to quit
03 Apr 19:00:48|pUtil.py    | Pilot cleanup has finished
03 Apr 19:00:58|pUtil.py    | Done, using system exit to quit
03 Apr 19:02:47|pUtil.py    | Pilot cleanup has finished
03 Apr 19:02:57|pUtil.py    | Done, using system exit to quit
03 Apr 19:22:42|pUtil.py    | Pilot cleanup has finished
03 Apr 19:22:52|pUtil.py    | Done, using system exit to quit
03 Apr 19:23:07|pUtil.py    | Pilot cleanup has finished
03 Apr 19:23:17|pUtil.py    | Done, using system exit to quit
03 Apr 19:32:11|pUtil.py    | Pilot cleanup has finished
03 Apr 19:32:21|pUtil.py    | Done, using system exit to quit
03 Apr 19:36:32|pUtil.py    | Pilot cleanup has finished
03 Apr 19:36:42|pUtil.py    | Done, using system exit to quit
03 Apr 19:39:40|pUtil.py    | Pilot cleanup has finished
03 Apr 19:39:50|pUtil.py    | Done, using system exit to quit
03 Apr 19:43:37|pUtil.py    | Pilot cleanup has finished
03 Apr 19:43:47|pUtil.py    | Done, using system exit to quit
03 Apr 19:56:51|pUtil.py    | Pilot cleanup has finished
03 Apr 19:57:01|pUtil.py    | Done, using system exit to quit
03 Apr 19:59:33|pUtil.py    | Pilot cleanup has finished
03 Apr 19:59:43|pUtil.py    | Done, using system exit to quit
03 Apr 20:16:50|pUtil.py    | Pilot cleanup has finished
03 Apr 20:17:00|pUtil.py    | Done, using system exit to quit
03 Apr 20:22:10|pUtil.py    | Pilot cleanup has finished
03 Apr 20:22:20|pUtil.py    | Done, using system exit to quit
03 Apr 20:30:10|pUtil.py    | Pilot cleanup has finished
03 Apr 20:30:20|pUtil.py    | Done, using system exit to quit
03 Apr 20:55:39|pUtil.py    | Pilot cleanup has finished
03 Apr 20:55:49|pUtil.py    | Done, using system exit to quit
03 Apr 21:03:41|pUtil.py    | Pilot cleanup has finished
03 Apr 21:03:51|pUtil.py    | Done, using system exit to quit
03 Apr 21:07:41|pUtil.py    | Pilot cleanup has finished
03 Apr 21:07:51|pUtil.py    | Done, using system exit to quit
03 Apr 21:23:18|pUtil.py    | Pilot cleanup has finished
03 Apr 21:23:28|pUtil.py    | Done, using system exit to quit
03 Apr 21:33:24|pUtil.py    | Pilot cleanup has finished
03 Apr 21:33:34|pUtil.py    | Done, using system exit to quit
03 Apr 21:40:25|pUtil.py    | Pilot cleanup has finished
03 Apr 21:40:35|pUtil.py    | Done, using system exit to quit
03 Apr 21:44:45|pUtil.py    | Pilot cleanup has finished
03 Apr 21:44:55|pUtil.py    | Done, using system exit to quit
03 Apr 21:51:32|pUtil.py    | Pilot cleanup has finished
03 Apr 21:51:42|pUtil.py    | Done, using system exit to quit
03 Apr 21:54:19|pUtil.py    | Pilot cleanup has finished
03 Apr 21:54:29|pUtil.py    | Done, using system exit to quit
03 Apr 22:20:08|pUtil.py    | Pilot cleanup has finished
03 Apr 22:20:18|pUtil.py    | Done, using system exit to quit
03 Apr 22:28:06|pUtil.py    | Pilot cleanup has finished
03 Apr 22:28:16|pUtil.py    | Done, using system exit to quit
03 Apr 22:30:11|pUtil.py    | Pilot cleanup has finished
03 Apr 22:30:21|pUtil.py    | Done, using system exit to quit
03 Apr 22:32:16|pUtil.py    | Pilot cleanup has finished
03 Apr 22:32:26|pUtil.py    | Done, using system exit to quit
03 Apr 22:58:25|pUtil.py    | Pilot cleanup has finished
03 Apr 22:58:35|pUtil.py    | Done, using system exit to quit
03 Apr 23:08:24|pUtil.py    | Pilot cleanup has finished
03 Apr 23:08:34|pUtil.py    | Done, using system exit to quit
03 Apr 23:13:32|pUtil.py    | Pilot cleanup has finished
03 Apr 23:13:42|pUtil.py    | Done, using system exit to quit
03 Apr 23:14:27|pUtil.py    | Pilot cleanup has finished
03 Apr 23:14:37|pUtil.py    | Done, using system exit to quit
03 Apr 23:25:27|pUtil.py    | Pilot cleanup has finished
03 Apr 23:25:37|pUtil.py    | Done, using system exit to quit
03 Apr 23:36:12|pUtil.py    | Pilot cleanup has finished
03 Apr 23:36:22|pUtil.py    | Done, using system exit to quit
03 Apr 23:45:30|pUtil.py    | Pilot cleanup has finished
03 Apr 23:45:40|pUtil.py    | Done, using system exit to quit
04 Apr 00:03:28|pUtil.py    | Pilot cleanup has finished
04 Apr 00:03:38|pUtil.py    | Done, using system exit to quit
04 Apr 00:22:23|pUtil.py    | Pilot cleanup has finished
04 Apr 00:22:33|pUtil.py    | Done, using system exit to quit
04 Apr 00:31:22|pUtil.py    | Pilot cleanup has finished
04 Apr 00:31:32|pUtil.py    | Done, using system exit to quit
04 Apr 00:37:01|pUtil.py    | Pilot cleanup has finished
04 Apr 00:37:11|pUtil.py    | Done, using system exit to quit
04 Apr 00:42:21|pUtil.py    | Pilot cleanup has finished
04 Apr 00:42:31|pUtil.py    | Done, using system exit to quit
04 Apr 01:01:10|pUtil.py    | Pilot cleanup has finished
04 Apr 01:01:20|pUtil.py    | Done, using system exit to quit
04 Apr 01:10:34|pUtil.py    | Pilot cleanup has finished
04 Apr 01:10:44|pUtil.py    | Done, using system exit to quit
04 Apr 01:14:17|pUtil.py    | Pilot cleanup has finished
04 Apr 01:14:27|pUtil.py    | Done, using system exit to quit
04 Apr 01:19:49|pUtil.py    | Pilot cleanup has finished
04 Apr 01:19:59|pUtil.py    | Done, using system exit to quit
04 Apr 01:27:56|pUtil.py    | Pilot cleanup has finished
04 Apr 01:28:06|pUtil.py    | Done, using system exit to quit
04 Apr 01:39:10|pUtil.py    | Pilot cleanup has finished
04 Apr 01:39:20|pUtil.py    | Done, using system exit to quit
04 Apr 01:57:52|pUtil.py    | Pilot cleanup has finished
04 Apr 01:58:02|pUtil.py    | Done, using system exit to quit
04 Apr 02:05:56|pUtil.py    | Pilot cleanup has finished
04 Apr 02:06:06|pUtil.py    | Done, using system exit to quit
04 Apr 02:08:18|pUtil.py    | Pilot cleanup has finished
04 Apr 02:08:28|pUtil.py    | Done, using system exit to quit
04 Apr 02:31:57|pUtil.py    | Pilot cleanup has finished
04 Apr 02:32:07|pUtil.py    | Done, using system exit to quit
04 Apr 02:37:51|pUtil.py    | Pilot cleanup has finished
04 Apr 02:38:01|pUtil.py    | Done, using system exit to quit
04 Apr 02:41:39|pUtil.py    | Pilot cleanup has finished
04 Apr 02:41:50|pUtil.py    | Done, using system exit to quit
04 Apr 03:03:38|pUtil.py    | Pilot cleanup has finished
04 Apr 03:03:48|pUtil.py    | Done, using system exit to quit
04 Apr 03:16:11|pUtil.py    | Pilot cleanup has finished
04 Apr 03:16:21|pUtil.py    | Done, using system exit to quit
04 Apr 03:20:24|pUtil.py    | Pilot cleanup has finished
04 Apr 03:20:34|pUtil.py    | Done, using system exit to quit
04 Apr 03:26:33|pUtil.py    | Pilot cleanup has finished
04 Apr 03:26:43|pUtil.py    | Done, using system exit to quit
04 Apr 03:30:49|pUtil.py    | Pilot cleanup has finished
04 Apr 03:30:59|pUtil.py    | Done, using system exit to quit
04 Apr 03:59:28|pUtil.py    | Pilot cleanup has finished
04 Apr 03:59:38|pUtil.py    | Done, using system exit to quit
04 Apr 04:04:00|pUtil.py    | Pilot cleanup has finished
04 Apr 04:04:10|pUtil.py    | Done, using system exit to quit
04 Apr 04:09:24|pUtil.py    | Pilot cleanup has finished
04 Apr 04:09:34|pUtil.py    | Done, using system exit to quit
04 Apr 04:10:38|pUtil.py    | Pilot cleanup has finished
04 Apr 04:10:48|pUtil.py    | Done, using system exit to quit
04 Apr 04:37:52|pUtil.py    | Pilot cleanup has finished
04 Apr 04:38:02|pUtil.py    | Done, using system exit to quit
04 Apr 04:47:12|pUtil.py    | Pilot cleanup has finished
04 Apr 04:47:22|pUtil.py    | Done, using system exit to quit
04 Apr 04:50:42|pUtil.py    | Pilot cleanup has finished
04 Apr 04:50:52|pUtil.py    | Done, using system exit to quit
04 Apr 04:54:57|pUtil.py    | Pilot cleanup has finished
04 Apr 04:55:07|pUtil.py    | Done, using system exit to quit
04 Apr 05:06:02|pUtil.py    | Pilot cleanup has finished
04 Apr 05:06:12|pUtil.py    | Done, using system exit to quit
04 Apr 05:21:13|pUtil.py    | Pilot cleanup has finished
04 Apr 05:21:23|pUtil.py    | Done, using system exit to quit
04 Apr 05:29:07|pUtil.py    | Pilot cleanup has finished
04 Apr 05:29:17|pUtil.py    | Done, using system exit to quit
04 Apr 05:33:11|pUtil.py    | Pilot cleanup has finished
04 Apr 05:33:21|pUtil.py    | Done, using system exit to quit
04 Apr 05:35:25|pUtil.py    | Pilot cleanup has finished
04 Apr 05:35:35|pUtil.py    | Done, using system exit to quit
04 Apr 06:06:38|pUtil.py    | Pilot cleanup has finished
04 Apr 06:06:48|pUtil.py    | Done, using system exit to quit
04 Apr 06:12:42|pUtil.py    | Pilot cleanup has finished
04 Apr 06:12:52|pUtil.py    | Done, using system exit to quit
04 Apr 06:16:24|pUtil.py    | Pilot cleanup has finished
04 Apr 06:16:34|pUtil.py    | Done, using system exit to quit
04 Apr 06:36:48|pUtil.py    | Pilot cleanup has finished
04 Apr 06:36:58|pUtil.py    | Done, using system exit to quit
04 Apr 06:44:23|pUtil.py    | Pilot cleanup has finished
04 Apr 06:44:33|pUtil.py    | Done, using system exit to quit
04 Apr 06:49:26|pUtil.py    | Pilot cleanup has finished
04 Apr 06:49:36|pUtil.py    | Done, using system exit to quit
04 Apr 06:51:17|pUtil.py    | Pilot cleanup has finished
04 Apr 06:51:27|pUtil.py    | Done, using system exit to quit
04 Apr 06:58:13|pUtil.py    | Pilot cleanup has finished
04 Apr 06:58:23|pUtil.py    | Done, using system exit to quit
04 Apr 07:20:49|pUtil.py    | Pilot cleanup has finished
04 Apr 07:20:59|pUtil.py    | Done, using system exit to quit
04 Apr 07:27:31|pUtil.py    | Pilot cleanup has finished
04 Apr 07:27:41|pUtil.py    | Done, using system exit to quit
04 Apr 07:31:16|pUtil.py    | Pilot cleanup has finished
04 Apr 07:31:26|pUtil.py    | Done, using system exit to quit
